,노래제목,가수,가사
95,그대라는 계절,송소희,"1.	그대라는 계절
2.	그대라는 계절 (Inst.)

그대라는 계절 – 송소희
차가운 바람 불어 내 귓가에 스치면
오래 전 그대 목소리 들리는 것만 같아 
아직도 생각난다 그대 내게 했던 말
계절이 바뀌고 또 흘러도 
왜 아직도 난 생각이 나는 걸까
우리 약속 하나만 해요
다신 볼 수 없다 하여도
마른 가지에 꽃들이 피면
안부라도 전해요
운명 같은 우리 사랑을
나는 어김없이 믿어요
그대라는 계절을 난 기다려요
늘 같은 자리에서

서글픈 하루가 또 지나가고
또다시 맘에 비가 내려
이룰 수 없는 사랑이라 해도
슬프지 않아요 그대의 온기 있으니
우리 약속 하나만 해요
다신 볼 수 없다 하여도
마른 가지에 꽃들이 피면
안부라도 전해요
가끔 내 생각이 난다면
우리 함께한 이곳으로
그대 마음 담아서 바람에 날려
내게로 보내줘요
우리 잊지 말아요"
96,달하 노피곰 도다샤 (feat. 루이스 초이),박봉규,"어긔야 어긔야 어강됴리
아으 다롱디리

달하 달하 노피곰 도다샤 
어긔야 님 가논 대 졈그를셰라

달하 노피곰
달하 달하 노피곰 도다샤"
97,매화가 피는,판타타(Pantata),"바람이 눈을 몰아
창문에 부딪치니
찬 기운이 새여 들어와
나의 마음을 얼게한다
온 세상 눈에 덮여 있어도
백설 속에도 봄 인양
매화같이 피온다
좋구나 매화로다
어허야 더허야
에헤 듸이여라 사랑도 매화로다
좋구나 매화로다
어야 더야 어허야
에헤 듸이여라 사랑도 매화로다
인간이별 만사 중에 독수공방이
상사난이란다 좋구나 매화로다
어야 더야 어허야
에헤 듸이여라 사랑도 매화로다
어저께 밤에도 나가자고
그저께 밤에는 구경가고
무삼염치로 삼승버선에 볼받아
달람나 좋구나 매화로다
어야 더야 어허야
에헤 듸이여라 사랑도 매화로다
나돌아가네 나돌아가네
떨떨거리고 나돌아가노라
좋구나 매화로다
어야 더야 어허야
에헤 두견이 우러라 사랑도 매화로다"
98,내님 (feat. 박예린),세마치 프로젝트,"내 님 닮은 바람 불어
내 님 온 줄 알았지
활짝 핀 꽃 내님 닮아
내 님 온 줄만 알았지
매일 밤 내 눈물로 내님 얼굴 그려줄 테니
세월아 내님 기억 가져가지 말아라
두 손에 담긴 그대 조각에 가슴엔 한이 많구나
한줌 바람에 흩날려 버리니 나도 데려가 주오
소근 소근 오는 눈이 내님 발소리 같아서
밤하늘 별들 노랫소리 내님 목소리 같아서
아흔의 아홉 달 눈물 흘렸던
그 자리엔 깊은 우물 됐네
다음 생에 내님 한 모금 해주오
두 손에 담긴 그대의 조각에
가슴엔 한이 많구나
한줌 바람에 흩날려 버리니 나도 데려가 주오
내 눈 멀면 당신이 밝혀주오
내 귀 멀면 당신만 듣겠네
내 눈 멀면 당신이 밝혀주오
두 손에 담긴 그대의 조각에
가슴엔 한이 많구나
한줌 바람에 흩날려 버리니 나도 데려가 주오
두 손에 담긴 그대의 조각에
가슴엔 한이 많구나
한줌 바람에 흩날려 버리니 나도 데려가 주오
내 님 닮은 바람 불어
내 님 온 줄 알았지
활짝 핀 꽃 내님 닮아
내 님 온 줄만 알았지"
99,도풍태군,창작집단 더늠,"도라지 도라지 백도라지
심심산천에 백도라지
한 두 뿌리만 캐어도
대바구니 철철철 다 넘는다
에헤에요 에헤에요 에헤에요
에야라 난다 지화자 좋다
얼씨구 좋구나 내 사랑아
풍년이 왔네 풍년이 왔네
명년 춘삼월에 화류놀이 가세
풍년이 왔네 풍년이 왔네
명년 춘삼월에 화류놀이 가세
짜증을 내어서 무엇하나
성화를 바치어 무엇하나
속상한 일도 하두 많으니
놀기도 하면서 살아가세
니나노 니나노 늴리리야
늴리리야 니나노
얼싸 좋아 얼씨구 좋다
벌 나비는 이리저리 펄펄
꽃을 찾아서 날아든다
바람이 분다 바람이 불어
연평바다에 어얼얼싸 찬 바람 분다
얼싸 좋네 아 좋네 군밤이요
에헤라 생율 밤이로구나
바람이 분다 (바람이분다)
바람이 불어 (바람이 불어)
연평 바다에 (연평 바다에)
어얼얼싸 찬 바람 분다
(어얼얼싸 찬 바람 분다)
얼싸 좋네 아 좋네 군밤이요
에헤라 생율 밤이로구나
봄이 왔네 (봄이 왔네)
봄이 왔어 (봄이 왔어)
금수강산에 (금수강산에)
어얼얼싸 새봄이 왔네
(어얼얼싸 새봄이 왔네)
얼싸 좋네 아 좋네 군밤이요
에헤라 생율 밤이로구나
얼싸 좋네 아 좋네 군밤이요
에헤라 생율 밤이로구나"
100,사진,Celine,"사진을 남겨보자
잘나오지 않아도
나중에 두고두고
웃으며 추억하자
여기보세요
하나 둘 셋
여기보세요
하나 둘 셋
사진을 남겨보자
잘나오지 않아도
나중에 두고두고
웃으며 추억하자
여기보세요
하나 둘 셋
여기보세요
하나 둘 셋
여기보세요
하나 둘 셋
여기보세요
하나 둘 셋"
101,봄 (사철가 Part1),신새봄,"이산 저산 꽃이 피니
분명코 봄이로구나
이산 저산 꽃이 피니
분명코 봄이로구나
봄은 찾아 왔건마는
세상사 쓸쓸하더라
나도 어제 청춘일러니
오날 백발 한심허구나
내 청춘도 날 버리고
속절없이 가버렸으니
왔다 갈줄 아는 봄은
반겨헌들 쓸데 있나
봄아 왔다 가려거든
가거라 나를 두고 가거라
니가 가도 여름이 오면
녹음방초 승화시라
내 청춘도 날 버리고
연정없이 가버렸으니
왔다 갈줄 아는 봄은
반겨헌들
(구음)
내 청춘도 날 버리고
속절없이 가버렸으니
내 청춘도 날버리고
속절없이 가버렸으니
왔다 갈줄 아는 봄은
반겨헌들 쓸데있나"
102,바람이 시킨거야 (feat. 김희지),홍순엽,"가 그대로 날 두고 멀리
떠나가는 너의 모습 붙잡을 수 없어
가져가 모두 남는 거 하나 없이
잊지 못할 추억들이 바보같이 널 믿게해
바람이 시킨거야 널 멀리 밀어냈어
우린 서로 그리운 것을 내가 잘 알고있어
떠나는 널 잡지못해 불러봐도 대답없는
너라는걸 알고있어 하지만 난 널 믿어
바람이 시킨거야 널 멀리 밀어냈어
우린 서로 그리운 것을 내가 잘 알고있어
그래 난 알고있어 넌 돌아오고있어
내게 와서 말해줄래 바람이 시킨거야
가 그대로 날 두고 멀리
떠나가는 너의 모습 붙잡을 수"
103,첫사랑가 (feat. 예결),재연,"한 떨기 꽃 피는 그 봄날에
한 아름 설렘 꼭 껴안고
한 걸음 한 걸음 그댈 향해
조금씩 다가가 본다
두근 두근대는 내 심장 소리
두 번 세 번 거울을 들여다보고
둘이서 꽃길을 걷는 상상을
하고 또 하고 또 해본다
뛰는 가슴 추스르고
떨리는 손 부여잡고
티 안 내려 하기엔 내 빨개진 볼과
끊이지 않는 미소가 문제로구나
사랑 사랑 사랑 사랑 사랑
내 사랑이로구나
이리 보고 저리 둘러보아도
둘도 없는 내 사랑
사랑 사랑 사랑 사랑 사랑
내 사랑이로구나
단 하나뿐인
어화둥둥 내 첫사랑
뛰는 가슴 추스르고
떨리는 손 부여잡고
티 안 내려 하기엔 내 빨개진 볼과
끊이지 않는 미소가 문제로구나
사랑 사랑 사랑 사랑 사랑
내 사랑이로구나
이리 보고 저리 둘러보아도
둘도 없는 내 사랑
사랑 사랑 사랑 사랑 사랑
내 사랑이로구나
단 하나뿐인
어화둥둥 내 사랑아
이제는 둘이서 손을 마주 잡으며
서로를 위하고 함께 바라보기로 해요
사랑 사랑 사랑 사랑 사랑
내 사랑 이로구나
단 하나뿐인 어화둥둥 내 첫사랑
내 사랑아"
104,상사별곡(相思別曲),이윤진,"인간 이별 만사 중에
독수공방이 더욱 섧다
보고지고 임의 얼굴
듣고지고 임의 소리
자나깨나 깨나 자나
임을 못 보니 가삼이 답답
오동추야
밝은 달에 임 생각이 새로워라
오동추야
밝은 달
한번 이별하고 돌아가면
다시 오기"
