,노래제목,가수,가사
10,퇴근버스,이준호,"이별 한지 한 달이 돼 네 생각에 잠 못 이루었어
지친 몸을 이끌고 퇴근길에
낯익은 버스에 몸을 기울였었어
텅 빈 버스 안에서 흘러나오는 노랫소리에
내 마음이 내 심장이 아직도 그댈 향해있나요
얼마나 더 멀리 가야 너를 잊을까
아직 남은 그대의 기억이
혼자 서성이는 가요 소리 없이
그댈 부르고 불러 봤지만
그댈 잊는 다는 게 아직 멀기만 하죠 난 아직도
시간이 지나 듣는 너의 소식에
나도 몰래 찾게 되는
너의 이름 아직도 너를 그리워 하나 봐
어떡해야 그대를 잊을수 있나요 너도
나처럼 많이 힘이 드나요 서성이던 내 모습이
간직해줘 나와 함께 했던 시간들을
많이 힘들겠지만 정말 힘들겠지만 잊어볼게"
11,나 평생 그대 곁을 지킬게,윤현상,"그대 늘 그대 곁을 맴도는 숨결처럼
나 그대의 곁에서 향기가 되어 줄게요
그대 짙은 어둠에 잠 못 들을 때면
그대 손 꼭 잡고서 계속 바라봐 줄게요

바람 좋은 날 서늘한 의자에 앉아
수줍게 입 맞추던 그 날의 우릴 기억해요
햇살 좋던 날 가벼운 발걸음으로 거닐던
낯익은 거릴 걸을 때면

사랑해 그대를 사랑해요
시간이 흐르고 서로가 변한대도
두 손 꼭 맞잡고 그대 곁에 있을게
나 평생 그대 곁을 지킬게

그대 힘들어 지쳐 기대고 플 때면
나 그대의 푹신한 베개가 되어 줄게요
그대 많은 상황 속 나도 힘들 때면
그대도 나처럼 꼭 내 곁을 항상 지켜줘요

낙엽 지던 날 우수에 젖은 눈으로
서로를 바라보며 시가 되어준 그 날처럼
눈꽃 오는 날 숫눈길 함께 거닐며
생기던 서로의 발자국 볼 때면

사랑해 그대를 사랑해요
시간이 흐르고 서로가 변한대도
두 손 꼭 맞잡고 그대 곁에 있을게
나 평생 그대 곁을 지킬게

사랑해 그대를 사랑해요
시간이 흐르고 서로가 변한대도
두 손 꼭 맞잡고 그대 곁에 있을게
나 평생 그대 곁에
나 평생 그대 품에
나 평생 그대 곁을 지킬게"
12,다시 만나는 날 (Goodbye for now),규현 (KYUHYUN),"나의 이 사랑이 너에겐 어떤 의미였을까
나처럼 하루가 짧기만 한 사랑이었을까
난 아직 기억하고 있는 걸 
우리 너무 사랑했던 그 날들

하나 둘 꺼내본 추억에 갑자기 두려운 걸
너무 변해버린 나의 모습에 실망할까봐
매일 밤 준비했던 많은 말들이 
한꺼번에 왈칵 쏟아질까봐

저기 아주 저 멀리 그대가 보이네요
아직 난 무슨 말을 먼저 해야 할지 못 정했는데
머뭇거리는 내게 그대 다가와
오랜만이라고, 잘 지냈냐고 손 잡아주네요 따뜻하게 

너만큼 난 아직 사랑을 모르고 있었나 봐
어린애처럼 나 너를 힘들게 했던 생각에
애써 꾹 참아왔던 아픈 눈물이
한꺼번에 왈칵 쏟아질까봐

저기 아주 저 멀리 그대가 보이네요 
아직 난 무슨 말을 먼저 해야 할지 못 정했는데
머뭇거리는 내게 그대 다가와
오랜만이라고, 잘 지냈냐고 손 잡아주네요 따뜻하게 

왜 난 아무 말도 하지 못하고 
고개만 끄덕거리며 우는지
셀 수도 없이 그려보았던 다시 만나는 날
울지 말아라, 떨리지 말아라 되뇌며 너를 기다리다

어느새 저기 멀리 그대가 서 있네요
아직 날 못 봤는지 조심스레 나를 찾는 그대
나도 모르게 그대에게 다가가
아무 말도 생각이 안 나서
꼭 안아버리면 그제서야 날 보며 웃는 그대
한 번 더 그려본 다시 만나는 날"
13,우주선,정승환,"잠이 참 오지 않던 밤
끝이 없을 걸 알지만
나는 먼 여행을 시작했죠
아무도 보이지 않고
아무 향기도 없는 곳
빛이 돼줘요
아득히 꿈처럼 보이던
수많은 추억이 스쳐 가네요
익숙했던 궤도 밖으로
까만 저편 너머로
뒤돌지 않고 가다 보면
언젠가 그댈 만날 수 있을까
하고 싶은 말이 참 많은데
가끔씩 외로울 때면
소리 내 노랠 부르죠 음
그대에게 닿길
어쩌면 나의 이 여정은
그대란 우주를 헤매는 걸지도
익숙했던 궤도 밖으로
까만 저편 너머로
뒤돌지 않고 가다 보면
언젠가 그댈 만날 수 있을까
하고 싶은 말이 참 많은데
멋대로 바뀌어 버린 계절과
불안한 나의 그림자 속에
오늘도 난 그댈 찾고 있죠
아주 오랜 시간이 지나
기억을 다 잃어도
그댈 알아볼 수 있어
나의 마음 깊숙이 새겨진
그대 중력이 날 이끌면
유성처럼 달려갈게요
내 여행의 끝은 그대죠"
14,자장가,아이유(IU),"기다리지 않기로 했잖아
울지 않을 거라고 그랬잖아
너무 늦은 밤이야
오 너무 긴 이별이야
잠시만 더 이렇게 있을까
그래 잊혀져 버릴 꿈이지만
눈을 감아 마지막
잠을 재워 줄게
My lullaby
Baby sweet goodnight
무서운 꿈은 없을 거야
너의 끝나지 않는 긴긴 하루를
이제는 그만 보내주렴 음
가만히 끌어안고 있을까
어느 사이 끝나 가는 꿈이지만
마음 놓아 마지막 노랠 불러 줄게
My lullaby baby
Sweet good night
무서운 꿈은 없을 거야
너의 끝나지 않는 긴긴 슬픔을
이제는 그만 보내 주렴
잠들지 못해
지친 숨소리가 잦아들 때까지
소란한 너의 밤을 지킬게
I'll be nearby
Baby sweet goodnight
항상 네 곁에 있을 거야
더 만날 수 없는 지난날들도
이제는 그만 놓아 주렴
My edelweiss
Baby sweet good bye
모두 잊어도 돼
다 괜찮아 괜찮아 놓아"
19,The Day That I Met You,Matilda Mann,"They telephoned me just to say
That nobody had the time for yesterday
And all at once, I felt so small
Started feeling like nobody cared at all

But then you called, only to say
You'll never love somebody else this way
And though I'm still battered and bruised
I forgave the world the day that I met you

Mm-mm, mm-mm

The people talk, it's background noise
I don't wanna hear nobody else's voice
There's something sweet about your scent
It's like lavender came and never left

But then you called, only to say
You'll never love somebody else this way
And though I'm still battered and bruised
I forgave the world the day that I met you

Mm-mm, mm-mm
Nothing ever seemed to go right
All my days they just fell into nights
Until I got a little bit of you in my life
And then suddenly everything's bright

I know there's a million different ways I could say
How you're always the part of my day
And when you feel the need to forget the world
You can call anytime you want
Call anytime you want
Mm-mmmm"
20,April Winds,Joe Brooks(조 브룩스),"Did you ever think the sun could turn cold
Do you ever miss the freedom 
of the sand between your toes
I was standing at your way

Put a kighton to the air
Should you ever feel alone

Meet me in the April winds
Meet me when the sun goes down
When your smile is wearing thin
And your heart has all but hit the ground
There is happiness at the end of this string
So bring the ocean as i bring the April winds

I never meant to let go of your hands
It's hard to face the
So trust me when I say
All the parts of us will change
The storms they hit so hard
But the heart of us remains

Meet me in the April winds
Meet me when the sun goes down
When your smile is wearing thin
And your heart has all but hit the ground
There is are promises at the end of this string
So bring your ocean now as i bring the April winds

And I will hold you wrapped inside my fingers
Even though you may not feel their tenderness
I'll stand my ground should you ever come down
I will be to raise you up again
I will be waiting in the April winds"
21,To Love a Boy,Maya Hawke,"I want to love a boy
The way I love the ocean
Wish I was not afraid
Of all I have that's broken
I know I must behave
To contain all my emotion

But I want to love a boy
The way I love the ocean

Like a hidden cave
I am always open
I hold the space you made
I'm empty but still hoping
I have a feeling
A terrible fear encroaching

That I'll never love a boy
The way I love the ocean

I ask why
It's better to speak than it is to die
One more try
It's better to laugh than it is to lie

I thought I had a man
Someone who could hold me
But nobody can
I wish someone had told me
I was born yesterday
And I'm still wet, still soaking
And I want to love a boy
The way I love the ocean

The way I love the ocean
The way I love the ocean"
22,good things,Zachary Knowles,"Used to be the only thing you would miss
Now you act like I don't exist
You wouldn't think that we could go on like this
For much longer

Tell me what do you think of it
Cause right now you seem sick of this
It's not so hard to spot the difference
In the air when I'm not there

Good things come and go
That's why you keep going
Try to keep you close
You make it look so

Easy like the words I speak
Just fall in silence
I've made peace with knowing that
There's no more use in trying
So I guess

Good things come and go
That's why you keep going
Good things come and go

I've been hoping you could see through the noise
That I could hear it in the sound of your voice
But you've been gone and not givin' me a choice
Way too often

I know it's hard breaking habits
But please don't waste what we have yet
Don't say you've lost what you haven't
Cause I'm right here

Good things come and go
That's why you keep goin'
Try to keep you close
You make it look so

Easy like the words I speak
Just fall in silence
I've made peace with knowing that
There's no more use in trying
So I guess

Good things come and go
That's why you keep going
Good things come and go"
27,Double Down,Dave Thomas Junior(데이브 토마스 주니어),"I said I would quit while
I'm a whisper ahead
But all of a sudden I'm a gambling man
Sometimes it's like it's all against us
This world is a rigged lottery
But you know I can't help
But double down on you and me
Now reason and making sense
So meaningless
I'm looking for reasons to be careless
And I can't say that you didn't warn me
But somehow that don't mean a thing
You know I can't help
But double down on you and me
How can I say heaven help me
It's not something that I believe
But you know I can't help
But double down on you and me
All we lost
Stacking up
But I'm not giving up on us
Losing track
Of the cost
But I'm not giving up on us
All we had
All we lost
But I'm not giving up on us
All we had
All we lost
But I'm not giving up on us"
28,Margaux,Matilda Mann,"Another day another room
With nothing new to say
But pretty eyes to match the sky
And softness in her face
She can't decide and never cries
I think it's just her style
Margaux stay a little while

Countless hours spent outside
To waste her time away
And over bearing endless staring
Into out of space
I can't recall the time before
I felt so out of place
Margaux left without a trace

Sunday mornings
Are quieter these days
And when do I
Get back the time we wasted
We both know
There's no one else to blame
Margaux left and nothing felt the same

Another meal in silence
And I don't know what to make
My room is still a mess
And my hair is just the same
I contemplate and wait for something
Just to make me move
Margaux said I'd never loose

Sunday mornings
Are quieter these days
And when do I
Get back the time we wasted
We both know
There's no one else to blame
Margaux left and nothing felt
Margaux left it's for the best
Margaux left and everything has changed"
29,brokenhearted (sunset),joan,"How can I
Hit rewind
So I could find
A single reason why
You would leave
With no goodbye
No apology
A future left behind?
Three years of my life just gone, and
I can't seem to find the moment
You realized I'm not the one, and
Walked right out the doorway
We were good until we weren't
Now I'm face down in our apartment
Wondering why you'd ever wanna leave me
Brokenhearted
All I knew
Was life with you
Did someone new
Come and change your mind?
I can't believe
I could be so blind
How could I not see
The light leaving your eyes?
Three years of my life just gone, and
I can't seem to find the moment
You realized I'm not the one, and
Walked right out the doorway
We were good until we weren't
Now I'm face down in our apartment
Wondering why you'd ever wanna leave me
Brokenhearted
Mmm, yeah, mmm, mmm
Mmm, mmm, yeah, yeah
Three years of my life just gone, and
I can't seem to find the moment
You realized I'm not the one, and
Walked right out the doorway
We were good until we weren't
Now I'm face down in our apartment
Wondering why you'd ever wanna leave me
Wondering why you'd ever wanna leave me
btokenhearted...
wondering why you'd ever wanna leave me..
mmm...brokenhearted..."
31,Yesterdays,Mark Diamond,"I know there's something I should say
But I searched for clever words
and they never came
So please don't look at me that way
Like we're tied to the tracks
And the train is on its way
So don't you worry
I'll be here
When the lights burn out
Maybe then we'll see things clear
I know where we're going
Our separate ways
And I'd freeze this moment
To keep us the same
If somehow I find us
A better way
Would you come live with me
In our yesterdays
Come live with me in our yesterdays
I know there's something I should do
But I can't think straight
When my thoughts lead back to you
Were we happiest in the days we left behind
When love was a fight
And time was never on our side
So don't you worry
I'll right here
When the lights burn out
Maybe then we'll see things clear
I know where we're going
Our separate ways
And I'd freeze this moment
To keep us the same
If somehow I find us
A better way
Would you come live with me
In our yesterdays
Come live with me in our yesterdays
Come live with me in our yesterdays
Come live with me in our yesterdays"
34,Fish,Billie Marten(빌리 마틴),"It's a small thing
I guess that I like a lot
Power to live without pain or thought
Big house on the hill where I lay my head
Bum bum ba da dum da da da da dum
Bum bum ba da dum da da da da dum
Mmm mmm mmm
Honestly floating it's all good to me
I feel quite innocuously being peacefully
I like the water
I like the sea
I like the way it used to be
Bum bum ba da dum da da da da dum
Bum bum ba da dum da da da da dum
Mmm mmm mmm
Mmm mmm mmm
Come
So come
Like a fish"
37,Heartbreak,Us The Duo(어스 더 듀오),"A thousand pictures here to tear
To throw them out just don't seem fair
Can I hold on a little longer?
Can I hold on a little longer?

A book of stories left to share
To make you laugh but you won't care
Who am I suppose to tell now?
Who am I suppose to tell now?

Heartbreak
Cold heartbreak
Go away from here
Heartbreak
Cold heartbreak
Go away from here

A song that's never to be played
Forever strung around your name
The first chords bring me sadness
The first chords make me cry

A truck of sweaters to return
And twenty greeting cards to burn
I might just keep a few
I might just keep a few

Ooooo
Heartbreak
Cold heartbreak
Go away from here
Heartbreak
Cold heartbreak
Go away from here

Oooooo
Let the tears fall down
Oooooo
Let the tears fall down

Heartbreak
Cold heartbreak
Go away from here
Heartbreak
Cold heartbreak
Go away from here

Let the tears fall down 
Let the tears fall down 
Let the tears fall down 
Let the tears fall down 

Let the tears fall down 
Let the tears fall down 
Let the tears fall down 
Let the tears fall down"
38,Like Everybody Else (Acoustic),Lennon Stella(레논 스텔라),"Run fast
Run away
Run straight into the loneliness
It isn't only home I miss
Like the night all my friends got together
Heard about it afterwards
Didn't think was gonna hurt so much
Why if I am doing so well
Did I build a wall between me and the world?
Been drilled in my head forever
Be better
Turns out I'm just like everybody else
Don't even go near a mirror
It'll kill ya
Trust me you don't wanna see yourself
Fuck the noise
It's too late
It's the choices
Now I don't even wanna be someone
What made me think I was special
I'm not special
Turns out I'm like everybody else
That's nice
Champagne
What a shame it doesn't work on me
So don't go wasting your money
Everybody in this room is too hard too pretty
I'm tired
I just wanna be nobody
Been drilled in my head forever
Be better
Turns out I'm just like everybody else
Don't even go near a mirror
It'll kill ya
Trust me you don't wanna see yourself
Fuck the noise
It's too late
It's the choices (Oh)
Now I don't even wanna be someone
What made me think I was special
I'm not special
Turns out I'm like everybody else
What made me think I was special
I'm not special
Turns out I'm like everybody else"
39,The Ride,Mark Diamond,"The Ride
By Mark Diamond


After my show 
I think I’ll pull an all nighter
5am with my friends
In the back of a diner 
Finally understand 
What petty meant about the vampires
I could smell the smoke
Now I see the fire 

So let me off
Off the ride 
‘Cause I have had enough
For one or two lifetimes
Let me off
Off the ride
No it’s not the thrill 
I thought that I would find 
Oh we’re all just trying to make it out alive

I don’t mind 
living outta no suitcase 
Singing alone 
selling my heartbreak
At least right here I’m living my way 
And all the rest I’ll gladly leave behind

So let me off
Off the ride 
‘Cause I have had enough
For one or two lifetimes
Let me off
Off the ride
No it’s not the thrill 
I thought that I would find 
Oh we’re all just trying to make it out alive

We’re all just trying to make it
We’re all just trying to make it out
We’re all just trying to make it out alive
We’re all just trying to make it
We’re all just trying to make it out
We’re all just trying to make it out alive

Let me off
Off the ride 
‘Cause I've had enough
For one or two lifetimes
Let me off
Off the ride
No it’s not the thrill 
I thought that I would find 
Oh we’re all just trying to make it out alive
I’m just trying to make it out on time"
41,잎새,너드(N2rd),"설레었던 너의 향기는
이젠 모두 사라졌지만
너를 품던 글자와 소리
그 기억은 아직
내게 남아 있는 걸
모든 게 다 그렇듯이
너와 나도 어김없이
변해가버린 그 사랑이
너무 많은 아픔들과
밤을 지샌 눈물들로
너를 놓아줄 수 없게 해
꽃들이 시들어가듯
사랑도 시들었지만
어디선가 우리들의
흔적이 남아있어
송이를 떠나 내렸던
꽃잎의 흔적들처럼
어디선가 우리 사랑
잎새가 되어 날리는
모든 게 다 그렇듯이
너와 나도 어김없이
변해가버린 그 사랑이
너무 많은 아픔들과
밤을 지샌 눈물들로
너를 놓아줄 수 없게 해
꽃들이 시들어가듯
사랑도 시들었지만
어디선가 우리들의
흔적이 남아있어
송이를 떠나 내렸던
꽃잎의 흔적들처럼
어디선가 우리 사랑
잎새가 되어 날리는
꽃들이 시들어가듯
사랑도 시들었지만
어디선가 우리들의
흔적이 남아있어
송이를 떠나 내렸던
꽃잎의 흔적들처럼
어디선가 우리 사랑
잎새가 되어 날리는
어디선가 우리 사랑
잎새가 되어 날리는"
