,노래제목,가수,가사
15,3월을 기다려 (Valentine Girl),이달의 소녀 1/3,"막 추워지기 시작하던 어느날 
우리가 첨 마주쳤던 어느날 
그때부터 내 맘이 그랬어

어색해 눈도 잘 못마주치고 
인사 한마디에도 말을 더듬고 
돌아서면 답답해 했어

소심하던 내가 떨리는 손으로 
큰 맘먹고 건냈던 2월의 Chocolate

oh boy- 내 맘을 다 꺼내 담기엔 
너무 작은 상자였죠
진짜 반의 반의 반도 안돼 
그래도 느꼈다면 내 맘을 알아챘다면 
내가 다음 달을 기다려도 되나요?

지구가 더욱 느려진 걸까? 
이번부터 2월이 길어졌나? 
왜이리 맘이 조급해지죠?

혹시 내가 너무 부담을 준걸까 
괜한 고민 속에서 하루를 보내요

Oh boy- 내 맘을 다 꺼내 담기엔 
너무 작은 상자였죠 
진짜 반의 반의 반도 안돼 
그래도 느꼈다면 내 맘을 알아챘다면 
내가 다음 달을 기다려도 되나요?

그대가 날 부르는 목소리 
사르르 달콤한 이 기분에 
혹시 꿈일까 헷갈리기도 해

근데 이러고 아무것도 없음 안돼 
어제랑 똑같음 안돼 
그럼 내 맘이 많이 복잡해져 
그러니 이번 봄에는 그대의 맘을 보여줘 
말 보다 달콤한 그댈 기대할게
진짜 다음 달을 기다려도 되나요?"
16,Ditto,NewJeans,"Woo woo woo woo ooh
Woo woo woo woo
Stay in the middle
Like you a little
Don't want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
훌쩍 커버렸어
함께한 기억처럼
널 보는 내 마음은
어느새 여름 지나 가을
기다렸지 all this time
Do you want somebody
Like I want somebody
날 보고 웃었지만
Do you think about me now yeah
All the time yeah
All the time
I got no time to lose
내 길었던 하루
난 보고 싶어
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
I got nothing to lose
널 좋아한다고 wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don't want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Not just anybody
너를 상상했지
항상 닿아있던
처음 느낌 그대로 난
기다렸지 all this time
I got nothing to lose
널 좋아한다고 wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don't want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Woo woo woo woo ooh
Woo woo woo woo"
17,Drama,투모로우바이투게더,"저 환호성 난 매일 그 뒤
쿨한 미소는 너의 주무기
처음 만났던 운동장의 Court
나도 주인공만 같던 Movie scene
네 패스 하나에 바로 나도 그 Scene 안에
Spotlight 불빛 아래 내 자리
날 향해 던져준 너의 다정한 그 말에
나도 한순간에 주연이
Oh oh 내디뎌 한발
Oh oh give me a highlight
Oh oh 꿈꿔온 Drama
Time to show my play
이건 내 Drama
꿈꿔본 Drama
이건 내 Drama
저 환호성 난 Nobody
스티커 사진 속 넌 주인님
아이구 죄송 넘은 내 선
엑스트라1 은 오늘도 통편집
함께 하고 있지만 마음이 이상해
자꾸 CG같애 내 몸이
어느새 다가온 퇴장이란 그 문 앞엔
작고 시시한 내 결말이
Oh oh 잘 가 내 망상
Oh oh 다가온 Bye bye
Oh oh 널 위한 Drama
Time to get away
이건 네 Drama
이건 네 Drama
이건 네 Drama
Oh my god
네 눈부신 Drama
내 내가 무슨 상관
내 내가 무슨 상관
Oh my god
마법 같은 Drama
내 내가 무슨 상관
내 내가 무슨 상관
Oh oh 무대 위 Drama는
Oh oh 여전히 찬란
Oh oh we have no problem
Nothing but my name
Oh oh 잘 가 내 망상
Oh oh 다가온 Bye bye
Oh oh 널 위한 Drama
Time to get away
이건 네 Drama
이건 네 Drama
이건 네 Drama"
18,따끔,에이프릴(APRIL),"손 틈새로 날 비추는 따스한 저 햇살 
그럴 때면 꼭꼭 난 네 생각이 나 어쩜 좋아
내 이름은 아는지 너도 나와 같은지 
들키지 않게 티 나지 않게 꼭꼭 숨겨둔 내 맘

키 크고 예쁜 친구도 많은 너는 모르는 꽁 해진 그런 마음
심술 난 어린애처럼 토라지는 나 너만 모르는 마음

눈이 따끔거려 눈물이 나 
너만 생각하면 난 맘이 덜컹 
몰래 훌쩍 혼자만 아픈 내 첫사랑
따끔거려 널 보면 조그매져 
난 결국 혼자만 아픈 짝사랑

얼굴이 자꾸 뜨거워 열이 날까 봐 
난 네 앞에선 자꾸 내 핸드폰을 만지작거려

눈 뜨자마자 네 생각 잠이 들 때까지 
들키지 않게 티 나지 않게 꿀꺽 삼키는 내 맘

귀엽고 예쁜 옷을 볼 때 난 너무 맛있는 걸 먹을 때면 나
길 잃은 어린애처럼 두근두근대 너만 모르는 마음

눈이 따끔거려 눈물이 나 
너만 생각하면 난 맘이 덜컹 
몰래 훌쩍 혼자만 아픈 내 첫사랑
따끔거려 널 보면 조그매져 
난 결국 혼자만 아픈 짝사랑

한 발짝 물러서 버리면 네게 멀어질까 봐 
이러지도 못해 결국 바라보고만 있어

눈이 따끔거려 눈물이 나 
너만 생각하면 난 맘이 덜컹 
몰래 훌쩍 혼자만 아픈 내 첫사랑
따끔거려 널 보면 조그매져 
난 결국 혼자만 아픈 짝사랑

Oh baby 두비룹 둡 두룹 두룹 난 너만 보는 예쁜 바보
눈을 감아도 네 모습만 가득해 내 맘 어쩌나
두비룹 둡 두룹 두룹 내 맘 알아줄래?
결국 혼자만 하는 짝사랑"
20,Life′s Too Short,aespa,"아른대는 Something
떠나고픈 Feeling
거울 속엔 지친 My face
길 잃은 맘의 갈피
반복되는 Trouble
다른 게 좀 필요해

미룰 수 없잖아
Cause life's too short
망설이다 흘러가
무슨 일이 벌어질까 궁금해
훌쩍 떠난 그 순간

내 방식대로 갈래
And I don't care
what you say about it
어차피 둘 중 하나
Do it or not
꿈꿔온 어딘가로
Why would I ever stop

단순하게 갈래
No I don't care
what you say about it
걸음이 닿는 대로
Way that I want
거기가 어디라도
Why would I ever stop

나만 아는 Story
혼자만의 Posting
꾸며볼래 All my life
머물고픈 순간 속에
영원할 내 모습
남겨둘래 All this time

두려워하지 마
Cause life's too short
후회 없이 걸어가
때론 비가 쏟아져도
I don't care
쉬어갈 수 있는 걸

내 방식대로 갈래
And I don't care
what you say about it
어차피 둘 중 하나
Do it or not
꿈꿔온 어딘가로
Why would I ever stop

단순하게 갈래
No I don't care
what you say about it
걸음이 닿는 대로
Way that I want
거기가 어디라도
Why would I ever stop

내 방식대로 갈래
단순하게 갈래
Why would I ever stop

더 멋진 오늘이 곁에 있는 걸
So why are you wasting your time?
단 한 걸음으로 달라진
하룬 눈부시게 변해가

더 자유롭길 바래
수없이 펼쳐질 모든 날이
인생은 한 번인 걸
Do it right now
더 빛날 세상으로
Why would I ever stop

늦기 전에 갈래
시간을 멈출 순 없을 테니
때로는 서툴러도
Way that I want
거기가 어디라도
Why would I ever stop

내 방식대로 갈래
(Life's Too Short)
단순하게 갈래
(Life's Too Short)
Why would I ever stop

더 자유롭길 바래
늦기 전에 갈래"
21,두 번째 데이트 (My Second Date),Red Velvet (레드벨벳),"Today is my second date uh
살짝 말 놓아볼까
슬쩍 팔 잡아볼까
잠깐 눈 감아볼까
오늘 내 두 번째 데이트
벌써 보여줬잖아 내 최고 Outfit 고민만 많아 점점
아직 말 안 했잖아 네 최애 Movie 물을 게 많아 더더
처음보단 과감해져 볼까?
깜짝 놀라 물러서면 어떡해?
하나부터 열까지 다 어색하지 Dumb Dumb
Tick tock 멈춰 Time time 쿵쿵 뛰어 맘맘
이대로 세 번째가 사라지면 안 되는데 어떡해
내 두 번째 데이트
살짝 말 놓아볼까
슬쩍 팔 잡아볼까
잠깐 눈 감아볼까
오늘 내 두 번째 데이트
내 두 번째 데이트
두근두근 어제 밤새 한 리허설
차근차근 연습했던 대로 하나 둘 셋
너무 많지 체크해둔 Wishlist
아직 Kiss는 꿈만 같은 거겠지
두근두근 차근차근 하나 둘 셋
Tick tock 멈춰 Time time 쿵쿵 뛰어 맘맘
이대로 마지막이 돼버리면 안 되는데 어떡해
내 두 번째 데이트
살짝 말 놓아볼까
슬쩍 팔 잡아볼까
잠깐 눈 감아볼까
오늘 내 두 번째 데이트
내 두 번째 데이트 내 두 번째 데이트
모른 척 마치 실수인 척 넘어지는 척
팔 한 쪽 잡아 슬쩍
좀 더 기다릴까?그럼 처음과
다를 게 없어 다를 게 없어
입술은 아직 이르지? 아마 그렇지? 아냐 모르지
첨에 감았던 한 쪽 눈 오늘 감아볼래 두 쪽 눈 다
아무것도 못하고 시간만 흘러 점점
아무것도 못하고 시간만 흘러 Baby
아무것도 못하고 시간만 흘러 Tick tock tick tock
아무것도 못한 채 시간만 흘러 Baby
살짝 말 놓아볼까
슬쩍 팔 잡아볼까
잠깐 눈 감아볼까
오늘 내 두 번째 데이트
내 두 번째 데이트 내 두 번째 데이트
내 두 번째 데이트 내 두 번째 데이트"
22,롤러코스터 (Heartbreaker),NCT 127,"이랬다 저랬다
정말 알 수 없는 널 
온종일 공부해도
난 어려워
좋았다 싫었다
하루에도 수백 번 no no no
롤러코스터 같은 너

이상하지 나는 불안해도
널 놓치긴 싫어
난 아파도 좋아 익숙한 듯 
너에게 내 전부를 맡겨

Heartbreaker
넌 알면 알수록 더
이해 할 수 없는 걸
Heartbreaker
긴장이 풀린 순간 
내 눈 앞에 없는 너
잡힐 듯 놓칠 듯 끝없는 장난에
심장이 터질 것만 같지 난 왠지
Heartbreaker
어디로 튈지 몰라
알 수 없는 너의 마음 
네가 좋아져

아침부터 난 왜 이리
또 네 연락만 waiting
안절부절한 나
뭐할까 바쁠까
귀를 쫑긋 세워
또 또 또 또
너만 기다리는 나

이상하지 나는 불안해도
널 놓치긴 싫어
난 아파도 좋아 익숙한 듯 
너에게 내 전부를 맡겨

Heartbreaker
넌 알면 알수록 더
이해 할 수 없는 걸
Heartbreaker
긴장이 풀린 순간 
내 눈 앞에 없는 너
잡힐 듯 놓칠 듯 끝없는 장난에
심장이 터질 것만 같지 난 왠지
Heartbreaker
어디로 튈지 몰라
알 수 없는 너의 마음 
네가 좋아져

지루하지 않아서 좋아
뭔가 특별한 네게 끌려 난 
이제는 네 마음 더 알고 싶어
어떤 것 같아 너와 나 (Love)
어려워도
난 괜찮은데
천천히 네게 날 맞춰갈게
step by step 내게 너를 알려줘
A to Z 너면 뭐든 괜찮아

Heartbreaker
왜 알면 알수록 더
이해 할 수 없는 너
Heartbreaker
긴장이 풀린 순간 
내 눈 앞에 없는 너
잡힐 듯 놓칠 듯 끝없는 장난에
심장이 터질 것만 같지 난 왠지
Heartbreaker
어디로 튈지 몰라
알 수 없는 너의 마음 
네가 좋아져

Heartbreaker
Heartbreaker
Heartbreaker
긴장이 풀린 순간 
내 눈 앞에 없는 너
잡힐 듯 놓칠 듯 끝없는 장난에
심장이 터질 것만 같지 난 왠지
Heartbreaker
어디로 튈지 몰라
알 수 없는 너의 마음 
네가 좋아져"
23,Goodbye To Romance,써니힐(Sunny Hill),"It's time for goodbye 
나의 로맨스여 Goodbye
바로 어제처럼 느껴지는 그때 그 시간들
이제는 Goodbye 나의 로맨스여 Goodbye
기다림조차도 아름답던 처음 그 떨림도
이젠 Goodbye 더 아쉬워도 Goodbye
나의 Memory

언니 방 서랍 속에 졸업앨범을 보다가
3학년 1반 반장이었던 그 선배를
오랜만에 보네요

점심시간이 되면 창가에 자릴 잡고 서
농구스타처럼 멋있었던 
그댈 보는 게 그렇게 좋았죠

It's time for goodbye 
나의 로맨스여 Goodbye
바로 어제처럼 느껴지는 그때 그 시간들
이제는 Goodbye 나의 로맨스여 Goodbye
기다림조차도 아름답던 처음 그 떨림도
이젠 Goodbye 더 아쉬워도 Goodbye
나의 Memory

1학년이던 내겐 선밴 하늘 같아서
말 한마디 건네기 너무도 어려웠죠
두 살 차이 뿐인데

노트 한 권 가득히 채운 선배 이름 세 글자
전할 용기 하나 없었지만
이름만 봐도 설레던 나였죠

결혼은 했을까, 혹시 내 이름 기억할까
그 동네에 여전히 살고 있을까
키는 거기서 크긴 했을까
이 좋은 기억으로 남길래 그래서

Goodbye
나의 로맨스여 Goodbye
바로 어제처럼 느껴지는 그때 그 시간들
이제는 Goodbye 나의 로맨스여 Goodbye
기다림조차도 아름답던 처음 그 떨림도
이젠 Goodbye Goodbye

It's time for goodbye 
나의 로맨스여 Goodbye
바로 어제처럼 느껴지는 그때 그 시간들
이제는 Goodbye 나의 로맨스여 Goodbye
기다림조차도 아름답던 처음 그 떨림도
이젠 Goodbye 더 아쉬워도 Goodbye
나의 Memory"
24,좋아해도 되나요 (...Is It OK?),f(x),"너에게 숨겼던 비밀이 있는데 
언제쯤 말할 수 있을까
오랫동안 곁에 있었지만 
내 맘은 가까이 가지 못했어

너의 일상에 난 어떤 사람인지 
가끔은 궁금하기도 해
하지만 나 걱정이 앞서서 
맘처럼 너에게 갈 수 없는걸

그거 아니 내가 요즘 니 생각에 밤이 길어졌어
쓸데없는 걱정 쓸모 없는 바램 괜히 나도 몰래 소심해져
순간순간 마주치는 너의 눈에 내 가슴이 뛴단 말야
어떡해야 하니 나 그냥 이대로 널 좋아해도 되나요

멀리서 비춰진 우리의 거리는 
잴 수 없을 만큼 좁은데
오늘도 나 니 옆에 설 때면 
아쉬운 공기가 느껴지는걸

그거 아니 내가 요즘 니 생각에 밤이 길어졌어
쓸데없는 걱정 쓸모 없는 바램 괜히 나도 몰래 소심해져
순간순간 마주치는 너의 눈에 내 가슴이 뛴단 말야
어떡해야 하니 나 그냥 이대로 널 좋아해도 되나요
시간이 갈수록 더 뭔지 모를 사이에 마음만 복잡해져
너의 슬픈 눈빛에 내가 들어갈 수는 없나요

보고 싶어 듣고 싶어 
내 맘 나누고 싶어 

고갤 돌려 나를 봐봐 난 항상 가까이에 있는데
언제쯤 내 맘을 들을 수 있을까 가끔씩은 혼자 울기도 해
순간순간 느껴지는 너의 상처에 나도 아프단 말야
언제쯤 닿을까 내 맘이 닿을까 나 좋아하고 있는데"
25,별이 된 아이,아이(I),"노랫소리가 들리면 울다가도 뚝 그치던 
baby baby baby it’s me 
춤을 출 땐 누구보다 환하게 웃던 작은 아이 
baby baby baby it’s me oh 
나 그때부터 멈추지 않고
자란 꿈이 있어 언제나 노래 하고 싶어 
언제나 밝게 빛나는 별이 꼭 되고 싶어 
어제보다 오늘이 더 소중하게 느껴져 우리 함께야 
항상 꿈꿔왔던 멋진 시간이 
하나씩 또 하나씩 쌓여가고 
두근두근 설레었던 처음 
그때부터 쭉 멈추지 않은 바람
이 세상 마지막 순간에서도 
lalala la lalala song for you 

가끔은 너무 힘들어 울고 있는데 내 곁에 
baby baby baby it’s me 
내 작은 손위로 포갠 너의 마음에 힘이 났어 
baby baby baby it’s me oh 

나 그때부터 아무도 몰래 한 
약속이 있어 언제나 네가 볼 수 있게 
언제나 밝게 빛나는 별이 될게 promise you 
어제보다 오늘이 더 소중하게 느껴져 우리 함께야 
항상 꿈꿔왔던 멋진 시간이 하나씩 
또 하나씩 쌓여가 저기 하늘보다 
더 높게 바다보다 더 넓게 
내 맘 담아서 노래 부르면 별이 될 수 있을까 
두근두근 어제보다 설레었던 
처음 그때부터 쭉 멈추지 않은 바람 
이 세상 마지막 순간에서도
lalala la lalala song for you"
