,노래제목,가수,가사
10,괜찮은 척,조곤,"거리엔 꽃이 피었고
하늘엔 달이 피었고
괜찮은 하루가 가네
그게 참 말이 안 되네
너의 목소릴 듣다가
너의 이름을 부르다
너의 하루가 궁금해져
결국 난 아아
괜찮은 척하며 하루를 살다
함께 걷고팠던 거리에
혼자 걷다가 걸을 수 없다가
그렇게 하룰 보냈네
궁금하지도 않은지
못다 한 우리 얘기가
넌 정말 괜찮은 걸까
괜찮은 척은 아닐까
괜찮은 척하며 하루를 살다
함께 걷고팠던 거리에
혼자 걷다가 걸을 수 없다가
그렇게 하룰 보냈네
꽃잎 같던 널 바라보던 나
바람에 날아갈까 걱정돼
손에 꼭 쥔 채 아픈 줄도 모른 채
그렇게 너를 보냈네
너를 하루 종일 기다릴 거면서
괜찮은 척을 해댔네"
11,흑백영화,삼점오,"너무 푹신하지 않은 소파에
눕진 않고 비스듬히 기대어

오후에 사놓은 전자레인지 팝콘과
흑백영화 한편을 보고 싶어

소파 뒤엔 윙윙거릴 프로젝터 
아마 그 소리도 영화의 일부 같겠지

중절모 쓴 남자 주인공과
머리띠 한 여자 주인공

이야기는 뭐가 되었든 상관없어 그냥
흑백영화 한편을 보고 싶어

너무 푹신하지 않은 소파에 
눕진 않고 비스듬히 기대어

오후에 사놓은 전자레인지 팝콘과
흑백영화 한편을 보고 싶어"
12,Too Good For Me,Gogang(고갱),"Maybe I'm I think I'm being punished
It's right
Because I I made you sad so bad
My mood is up and down
Up and down again and again
Took a deep breath then summer's
Come and gone twice
Lose my sight it's like
I'm holding my breath in dust
All these things around me
They just makes you more perfect
I think I should apologize
It's too late
But I still love to see your smile
A grain of sand I feel the universe
In this thing
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You know what
I've always been give up so easily
I was hiding in a lion's skin
When someone left
Oh look at me now I feel alive only
When I get hurt
Maybe I'm not grown up enough to see
In the empty hole
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You're so lovely
You're so lovely
You're so lovely"
13,외줄타기,루시드폴,"떨려오는 마음 안은 채로
저기 까마득한 지평선으로
한 발 한 발 걸어가다 보면
나도 부채처럼 가벼울 수 있을까

개미 한 마리 나를 질러
달려 나가네

바람 거세게 불어와도
자유롭게
가볍게
걸어가는 너

사실 나는 
함께 가고 싶어

너의 등에 업힌 채로
너의 손을 잡은 채로
저 아래 너른 들판
혹은 깊은 바다
울고 싶을 때 울 수 있는
그런 곳 말이야

서리 내린 추운 밤이 오면
나를 꼭 안아줄 네가 필요해
조심스레 다가가려 해도
너는 쏜살처럼 달아날지도 몰라

나를 흔들리게 하는 건
내 몸의 무게

나를 얼마나 던져버리면
기분 좋게
솔직하게
걸을 수 있을까

사실 나는
함께 가고 싶어

우리 어깨 기댄 채로
우리 머리 맞댄 채로
저 하늘 흰 구름 속
혹은 깊은 숲 속
쉬고 싶을 때 쉴 수 있는
그런 곳 말이야"
14,Notebook,RIWOO,"뻥 뚫린 창문 앞에 뒷짐 져 노을을 보며
넌 항상 낯설어 하고 그러다 잠들기를 매번
깊숙이 어딘가 내 간절함에 기대해
네가 남긴 기억들 수백 번 들려주어야
우린
We fly to the anywhere like a bird
We never come back to home
We fly to the anywhere like a bird
We never come back to home
한 여름 날 우린 쪽배에 몸을 맡기고
갑자기 내린 비에 서로 더 뜨거워졌었지
깊숙이 어딘가 내 간절함에 기대해
네가 남긴 기억들 수백 번 들려주어야
우린
We fly to the anywhere like a bird
We never come back to home
We fly to the anywhere like a bird
We never come back to home"
15,아보카도 (AVCD),민열(MNYL)CONNECT 아티스트,"당신은 V 때문에
더 사랑받는 거예요 V V V V
당신은 A 때문에
더 사랑받는 거예요
A A A가 두개있죠
살다보면 V도 A도
없을 때가 있어요 For fox's cake
그러면 O 때문에
좀 더 행복해진 거예요 O O O O
You're an avocado 살짝 Oily하지만
난 왜 그런 점이 좋을까요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
You're a 곤경에 빠진 아보카도
까맣고 올곧은 심장의 아보카도
아보카도 아보카도
당신은 V 때문에
더 사랑받는 거예요 V V V V
당신은 A 때문에
더 사랑받는 거예요 A A A가 두개있죠
살다보면 V도 A도
없을 때가 있어요 For fox's cake
그러면 O 때문에
좀 더 행복해진 거예요 O O O O
You're an avocado 살짝 oily하지만
난 왜 그런 점이 좋을까요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
You're a 곤경에 빠진 아보카도
까맣고 올곧은 심장의 아보카도
아보카도 아보카도
You're an avocado 살짝 Oily하지만
난 왜 그런 점이 좋을까요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
겉모습은 고집이 좀 세보여도
속은 또 그렇지도 않아요
You're a 곤경에 빠진 아보카도
까맣고 올곧은 심장의 아보카도
아보카도 아보카도"
16,두 손,주윤하,"따듯한 바람이 불던 날
작은 창을 열고
가만히 조용히 너를 생각해

단 하나라도 어긋났었다면 
우린 어떻게 됐을까

아 외로웠던 밤 
너를 꿈꾸길 기도하며 잠들었던
그 수 많았던 날들이
거짓말처럼 다 사라져

우리 이제 다른 걱정 말고
같은 꿈을 바라보면서
같은 길을 걸어가면서
이렇게 잡은 두 손 놓지 말아요

너의 곁으로 가던 날 
두 눈을 꼭 감고
지나간 날들을 생각해

아 고마웠던 밤 
추운 겨울날 얼었던 맘을 녹여줬던
그 수 많았던 날들이
거짓말처럼 다 내게로

우리 이제 다른 걱정 말고
같은 꿈을 바라보면서
같은 길을 걸어가면서
이렇게 잡은 두 손 놓지 말아요

우리 이제 다른 생각 말아요
같은 꿈을 바라보면서
같은 길을 걸어가면서
이렇게 두 손 꼭 잡아요"
17,처음이야,옥수사진관,"언제인지 모르게 다가온 
너의 향기에 난 어지러웠어
이렇게 할지 저렇게 할지 알 수 없었지 난
마치 꿈속을 헤매는 것 같았어

친구들은 나에게 말하지 
요즘 내 모습 좀 이상하다고
무슨 생각을 하고 사는지 모르겠다며 날
정신 나간 사람 취급도 하더군

모르겠어 내가 왜 이런지
예전에는 그런 적 없었는데
무엇이든 자신 있었던 내가 왜
왜 너에 관한 일에는 이렇게 
바보처럼 어떻게 해야 좋을지 모르나

친구들은 나에게 말하지 
요즘 내 모습 좀 이상하다고
무슨 생각을 하고 사는지 모르겠다며 날
정신 나간 사람 취급도 하더군

모르겠어 내가 왜 이런지
예전에는 그런 적 없었는데
무엇이든 자신 있었던 내가 왜
왜 너에 관한 일에는 이렇게 
바보처럼 어떻게 해야 좋을지 모르나"
18,3박자,개인플레이(Gainplay),"그 사람 목소리 그 눈빛 그표정
내 마음 편안케 하네
독특한 그 말투 따듯한 그 마음이
나를 더 포근케 해

날 위한 마음에 그 친절한 배려가
외로운 날 위로 하고
세상에 치이고 지친 내 마음을
그대가 달래주네

그 마음을 감춰둔 사랑
비록 내가 아닐지라도
내 마음의 위로는 그대
그대 그대 음
 
내 모습 나도 참 바보같긴 하지만
이 마음 감출 수 없네
붉어진 얼굴로 웃기만 하는 나
그댄 어떻게 볼까

그 마음을 감춰둔 사랑
비록 내가 아닐지라도
내 마음의 위로는 그대
그대 그대 음"
19,I GO,송희란,"Hello
내 잠긴 맘속
나와 내 눈을 맞춰
Wake up 나를 불러보곤 해
Hang off
나 오늘 잠시
Day off
다 모른 척 할게
그만 내 귀를 닫은 채
아슬한 척
자유롭게
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go away I go
Clean up
내 남긴 모든 것
내가 날 묶었던 날들
Switch off
나 눈을 감고
아슬한 척
자유롭게
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go away I go
의미 없는 연속들 또 난
혼자 굳이 애써왔던 것뿐
더는 날 붙잡지 마
나는 어디로든지 갈 수 있어
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go umm wherever
Bye now"
20,"비, 흐림",뉘뉘(NUITNUIT),"알지 못했던 비에 재촉한 발걸음
머물 곳이 없단걸 깨달은 뒷걸음
헤매어본대도 돌아가본대도 난 제자리
 
눅눅해진 바지와 젖어든 머리칼
축축해진 기분에 스며든 어린 날
정돈해보아도 잘 말려보아도 또 제자리
 
소중한 마음은 애틋한 기억은 
젖지않을 줄 알았는데 난
거센 바람에는 지친 미소들은 날아가더라
 
Fly away They're all gone away
거센 바람에는 지친 웃음들은

아려온 말들은 그래 그 말들을
잊지못할 줄 알았는데 난
무심히 스치는 이 순간에도 흐려지더라
 
Fly away They're all gone away
거센 바람에는 지친 웃음들은"
